,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
444375,58702,72.94584909857,28.48506220925,155136765649369088,0.3121,2.176,1.473,-1.602,14.600046,0.002769,15.552221,0.003442,13.637772,0.00383,13.100617,0.079568,1.91445,0.952175,0.962275,,5580.5,1904.8843,5.2359,47.986847,2.49,0.622,0.22493,K      
468452,82779,66.25164202433,35.28643493368,176319716151757696,0.2896,2.533,2.008,-1.543,14.271105,0.002773,15.143032,0.003634,13.352106,0.003909,13.029294,0.067886,1.790926,0.871927,0.918999,,4937.3,1782.5742,5.7593,46.75495,3.002,0.377,0.11714684,K      
570209,84536,269.48985417188,-35.07135536038,4042069073175347072,0.1166,2.827,-2.778,-0.522,13.403395,0.002925,14.847594,0.005324,12.235795,0.00429,11.626801,0.030194,2.611799,1.4442,1.1676,,3724.2,5246.8677,56.7858,419.55405,1.922,1.344,0.01179558,M      
393390,7717,43.68247165866,16.26085694435,34960071716986112,0.2564,3.214,3.017,-1.109,14.737822,0.003086,15.269957,0.006846,14.03421,0.006682,13.709983,0.180038,1.235746,0.532135,0.703611,,5733.3,2592.0085,3.708,21.795254,1.823,1.514,0.28548342,K      
116665,16665,79.03950181063,43.80283489033,207576048592629120,0.1396,0.39,0.388,-0.042,15.652948,0.002781,15.954035,0.003653,15.166002,0.004719,,,0.788033,0.301086,0.486946,,10340.3,3795.9163,1.8789,39.314964,2.428,,0.70447105,B      
396933,11260,62.91552360985,17.81838807293,46125788391736704,0.3608,2.884,2.036,2.043,14.217703,0.002769,15.081606,0.003297,13.30061,0.003865,12.93057,0.054319,1.780996,0.863903,0.917093,,5804.8,2125.8508,6.1462,41.573856,2.346,0.74,0.1955018,K      
589355,3682,85.50256072333,-9.55099126427,3012114067093902464,0.7702,3.702,2.455,2.771,16.02249,0.002832,17.748257,0.011369,14.766524,0.00414,,,2.981732,1.725767,1.255965,,15011.3,1292.2292,2.6524,292.91162,4.154,,1.0135056,O      
497671,11998,121.13639881702,13.03171366524,653143824259778304,6.0904,88.145,-22.341,-85.267,15.198917,0.002812,16.348066,0.003896,14.134543,0.003876,13.685831,0.165165,2.213523,1.149149,1.064374,,3718.0,162.6542,0.5047,0.044335883,0.523,11.757,0.6624993,M      
117877,17877,77.3264460423,47.98661411351,213153076509206912,0.69,2.967,1.184,-2.721,12.848384,0.002764,13.042091,0.002839,12.52047,0.003796,,,0.521622,0.193707,0.327914,,9952.9,1469.6467,2.1623,38.239548,2.373,0.274,0.52318937,B      
338755,53082,62.53220890569,32.02534794132,169165846827541632,0.3437,6.596,5.354,-3.852,14.914904,0.003046,15.393693,0.003193,14.171881,0.003869,13.945766,0.100326,1.221812,0.478789,0.743023,,5347.6,753.1138,1.0709,0.762485,0.857,11.976,0.5710393,G      
393808,8135,58.65609514541,11.8078990675,36769253678064512,2.5849,28.506,4.882,-28.085,14.032735,0.00276,14.597946,0.00296,13.319778,0.00384,12.995708,0.067206,1.278168,0.565211,0.712956,,5291.1,368.1166,0.8005,0.48591387,0.883,4.728,0.6130772,K      
132035,32035,15.52676131712,56.70871010393,423963475998224384,0.4644,1.985,-1.857,-0.701,13.629987,0.002766,13.764957,0.002856,13.390815,0.003809,,,0.374143,0.134971,0.239172,,10108.6,2660.494,2.3956,31.92501,2.321,,0.509657,B      
550891,65218,49.40952931837,-1.33329323954,3262652703608324608,4.8636,52.035,-34.573,-38.889,15.162252,0.002789,16.206362,0.003762,14.1492,0.004032,13.42537,0.13862,2.057162,1.044109,1.013053,,3896.7,203.3097,0.5672,0.068176135,0.584,11.487,0.66699034,M      
226415,40742,45.05268490245,21.40484185793,108567328610565760,0.922,0.685,-0.344,-0.592,14.297264,0.002766,14.768111,0.003111,13.649765,0.003888,13.326842,0.055225,1.118346,0.470847,0.647499,,6319.0,966.0369,1.4692,3.4923778,1.271,3.302,0.4209891,F      
524763,39090,296.01702854955,26.87431848269,2028035457870903040,0.1526,3.833,-1.779,-3.395,14.693652,0.002799,17.272839,0.007105,13.279642,0.003876,12.637475,0.024937,3.993197,2.579186,1.41401,,3910.4,2509.96,42.7031,354.3488,3.512,0.25,0.02666077,M      
181705,81705,315.51679847606,12.6022874604,1758138647802137984,0.0757,4.695,-2.036,-4.23,16.113134,0.002817,16.16937,0.003734,16.021963,0.004992,,,0.147408,0.056236,0.091171,,10113.3,11450.628,2.6852,71.893234,2.666,0.341,0.49033865,B      
216623,30950,32.80002388023,15.84210174612,79193669315945728,2.4646,21.422,-1.836,-21.343,12.46119,0.002769,12.814889,0.002896,11.935922,0.003838,11.745183,0.019265,0.878967,0.353699,0.525269,,5709.5,400.9734,1.2285,1.4545702,0.961,11.146,0.55482244,F      
75926,75926,333.73680068007,14.76619256861,2735079601234559360,1.0391,21.317,-17.687,-11.899,12.098993,0.002844,12.268343,0.003373,11.801535,0.00445,11.668735,0.019891,0.466808,0.16935,0.297459,,7507.8,848.1823,1.8725,12.214766,1.734,1.094,0.46569502,A      
436539,50866,66.46778103223,22.15448974091,145480476577619968,0.5655,7.391,-4.406,-5.934,14.905376,0.002767,15.675639,0.003133,14.040195,0.003945,13.638311,0.114706,1.635444,0.770264,0.86518,,5247.4,1596.7058,3.2045,7.516574,1.511,2.682,0.25059992,K      
210686,25013,58.48582335765,23.54458539203,65699191312208000,0.6563,4.057,3.566,-1.936,14.465494,0.002763,14.810882,0.003017,13.946057,0.003908,13.649125,0.056945,0.864824,0.345387,0.519437,,6256.9,1211.4517,1.3923,3.646006,1.28,3.447,0.39971828,F      
482138,96465,80.59382153395,37.56085482186,184495306660280832,0.3186,2.972,-1.533,-2.546,14.184034,0.002769,15.115491,0.003109,13.2313,0.003815,12.737256,0.105276,1.884191,0.931457,0.952734,,5478.7,3345.691,11.0259,67.986984,2.788,0.455,0.1624782,K      
414090,28417,24.67018776787,19.5159953614,95901435694712064,0.6435,5.407,5.18,-1.55,14.800291,0.00277,15.283508,0.003364,14.154928,0.003969,13.721927,0.061973,1.12858,0.483217,0.645363,,5054.1,1561.7993,2.1747,2.3897343,1.019,10.732,0.28333914,K      
487043,1370,50.71218340501,26.07244593344,117518418413139456,7.3575,137.74,-76.947,-114.243,14.451987,0.002785,15.457379,0.003161,13.455851,0.003849,13.04303,0.093656,2.001529,1.005392,0.996137,,3753.7,135.8316,0.5295,0.049730413,0.551,0.766,0.60047114,M      
170666,70666,39.18014714766,66.90105889553,517378598064461952,1.1437,2.286,-1.852,1.339,10.856763,0.002762,11.191864,0.002823,10.325702,0.003795,10.089624,0.008364,0.866162,0.335101,0.531061,,11051.8,758.2234,3.5236,222.58157,3.419,0.226,0.5212579,B      
191219,5546,43.02044885238,8.44868396178,20467516325862912,5.7743,25.516,25.226,-3.839,9.933569,0.002764,10.209276,0.002827,9.494002,0.003787,9.3288,0.011539,0.715274,0.275707,0.439567,,5985.8,171.3457,1.4075,2.3125002,1.139,5.321,0.4383876,F      
551810,66137,99.50161323292,10.81274060545,3327787738081072000,0.1679,2.924,-1.451,-2.538,15.106042,0.002782,16.105352,0.004273,14.122118,0.004109,13.702468,0.187024,1.983234,0.999311,0.983924,,5149.0,2876.18,7.06,31.816494,2.453,0.657,0.20048873,M      
398509,12836,64.38808461193,21.21538662414,49472736147061376,0.298,3.868,-1.247,-3.662,14.297016,0.002765,15.185419,0.003054,13.36945,0.003828,13.006913,0.032241,1.81597,0.888403,0.927567,,5883.7,6211.929,17.7911,67.00613,2.672,0.503,0.1188655,K      
325361,39688,44.21297372361,34.06006852712,137110753547798272,2.0542,9.549,-8.978,-3.251,13.092773,0.00277,13.46827,0.002892,12.553626,0.003821,12.407383,0.055223,0.914644,0.375497,0.539147,,5779.0,481.9505,1.1037,1.1409723,0.935,11.131,0.5211904,G      
66036,66036,312.10586025502,47.76117446738,2166771830731202816,0.8826,7.413,-3.836,-6.344,13.090456,0.002766,13.467554,0.003008,12.539057,0.003902,12.340291,0.023673,0.928497,0.377098,0.551399,,6950.4,1097.126,2.3727,11.307711,1.68,1.436,0.4027371,A      
289102,3429,47.75125915725,10.40493064271,15312971455108352,1.6346,5.425,5.249,-1.368,14.225243,0.002769,14.739806,0.003265,13.549397,0.003922,13.221284,0.077286,1.190409,0.514564,0.675845,,5724.1,581.5773,1.0189,1.0570728,0.963,7.961,0.5266749,G      
527519,41846,294.75934827652,33.2501723874,2045460208910183680,0.0452,2.082,-1.237,-1.675,14.268396,0.008466,15.602703,0.036646,13.133902,0.022435,12.598339,0.050684,2.468802,1.334307,1.134495,,3818.0,5446.7466,34.8048,181.35356,3.105,0.345,0.01466139,M      
477688,92015,78.11355613134,33.58049021616,182115001425219072,0.4306,4.385,3.803,-2.182,13.174077,0.002763,14.180187,0.002897,12.183575,0.003796,11.743821,0.015509,1.996613,1.00611,0.990502,,5066.1,1751.7325,10.8221,100.16802,3.1,0.346,0.11960188,K      
310483,24810,30.75251608375,21.81926174341,94566559859124736,2.4534,8.898,4.649,-7.587,13.751079,0.002764,14.210798,0.003104,13.130599,0.003846,12.899146,0.043472,1.080199,0.45972,0.62048,,5237.4,400.7417,0.8476,0.48884764,0.846,9.649,0.6146756,G      
488593,2920,77.29369940733,47.14780920904,206878752061894656,1.9168,32.034,10.256,-30.347,15.43723,0.00422,16.49348,0.003909,14.32183,0.003883,13.852996,0.076961,2.171651,1.056251,1.1154,,3783.9,181.7873,0.506,0.04941512,0.542,7.872,0.64173126,M      
566785,81112,269.10689592708,-36.2527350277,4040356278940410880,0.0684,6.416,-1.541,-6.228,15.21029,0.0029,16.41456,0.015524,14.002463,0.005253,13.178804,0.072763,2.412097,1.20427,1.207827,,5349.8,2472.17,8.8221,46.899353,2.446,0.658,0.13651526,M      
380109,94436,56.68798660739,42.24159376771,243229637269394944,1.1709,9.832,0.787,-9.801,14.10505,0.002763,14.545154,0.002989,13.494135,0.003836,13.260744,0.055623,1.051019,0.440104,0.610915,,6347.7,826.434,1.2815,2.3324602,1.211,1.976,0.5478959,G      
594057,8384,266.72735718618,-18.05278934084,4120579430474794112,0.2518,8.686,0.155,-8.685,16.573418,0.002838,17.367378,0.007751,15.578597,0.004402,,,1.788781,0.793961,0.994821,,15014.9,2955.2983,1.8242,159.50668,,,0.9975564,O      
368132,82459,55.03324450587,36.70626410151,221776791019613056,0.9165,5.197,4.051,-3.255,14.914219,0.002766,15.759105,0.003479,14.002559,0.00399,13.60296,0.054355,1.756546,0.844886,0.91166,,6853.5,1028.2253,1.9015,7.5627556,1.536,1.648,0.47830787,G      
272185,86512,65.02263831828,33.01456112459,172647828350700416,0.7489,2.419,1.977,-1.394,13.91037,0.002762,14.302368,0.003094,13.337153,0.003853,13.206696,0.078703,0.965215,0.391998,0.573216,,6631.1,1093.7487,1.7349,7.1015034,1.501,1.974,0.34575382,F      
526807,41134,299.42460336509,32.85900803742,2034267867747408768,0.0951,7.555,-3.415,-6.739,14.338705,0.002794,16.17339,0.003532,13.067923,0.003904,12.484707,0.03444,3.105467,1.834684,1.270783,,3646.1,10494.673,107.4867,1803.2277,1.927,1.342,0.00511406,M      
428515,42842,38.68620313654,31.96450683519,133276412903704704,0.5331,3.301,2.647,-1.972,13.255378,0.002761,13.858968,0.002905,12.521456,0.003846,12.257237,0.02945,1.337512,0.60359,0.733922,,4646.7,2150.9255,7.7831,15.011745,1.151,7.154,0.09431855,K      
75669,75669,335.10529782705,1.65759299437,2679539768517712768,1.3989,5.662,-5.217,-2.2,11.505394,0.006431,11.706512,0.016926,11.133592,0.016478,10.953158,0.026714,0.572921,0.201118,0.371802,,6738.7,689.6917,2.3245,9.254102,1.599,1.682,0.42302126,A      
426833,41160,42.87781989882,29.76642502513,129225124875949696,3.2927,9.524,4.835,8.206,14.53457,0.002771,15.229449,0.003225,13.728249,0.003895,13.363138,0.075229,1.501201,0.69488,0.806321,,4514.5,301.2008,0.6937,0.18005939,0.712,10.213,0.62974083,K      
433270,47597,40.85938086687,36.39325625312,141217360758095616,3.1926,13.466,10.541,-8.379,13.871891,0.002804,14.403245,0.00373,13.191715,0.003975,12.875721,0.056362,1.21153,0.531354,0.680176,,4840.0,313.1764,0.7288,0.25670612,0.8,1.134,0.64856803,K      
547777,62104,118.07843463955,-2.61301378943,3081017712032080512,0.4513,2.845,-2.762,0.683,9.704016,0.00463,11.157619,0.013593,8.509187,0.010428,7.998216,0.022196,2.648433,1.453604,1.194829,1.236,3550.7,2290.2485,127.8909,1548.0371,1.921,1.357,0.01065008,M      
197770,12097,58.69852669006,15.3171188954,40074042034055552,1.2912,8.387,4.422,-7.127,12.88283,0.002768,13.252189,0.002867,12.339347,0.00381,12.110265,0.022161,0.912842,0.369359,0.543483,,6922.2,767.3522,1.787,6.2361426,1.486,1.495,0.4935837,F      
305014,19341,36.55774629622,12.74953456078,74416909768632192,1.4376,3.985,2.431,-3.157,14.660892,0.002781,15.075458,0.00353,14.07864,0.003997,14.019368,0.2205,0.996818,0.414566,0.582252,,5464.7,593.9969,0.7456,0.5899653,0.956,0.468,0.6565063,G      
268173,82500,61.813783314,31.90121385901,169338813750855552,1.1953,11.84,11.811,-0.824,14.666643,0.002763,15.142352,0.003204,14.017877,0.003875,13.833074,0.117612,1.124476,0.475709,0.648767,,5934.5,801.8251,1.0748,1.3065836,1.042,4.668,0.5075106,F      
61481,61481,294.24127996096,41.6198671538,2077501626983451520,3.0622,11.228,2.241,11.002,9.647909,0.002769,9.724391,0.002849,9.49555,0.003789,9.42187,0.006041,0.228841,0.076482,0.152359,,8116.2,331.6416,1.7766,11.97755,1.773,0.617,0.5847019,A      
363656,77983,81.92203954269,47.937887974,212367101789781248,0.7365,7.018,3.376,-6.153,14.507808,0.002764,15.006176,0.003163,13.839213,0.004028,13.539937,0.139463,1.166963,0.498368,0.668594,,5626.9,1160.3468,1.777,3.553317,1.154,6.471,0.495549,G      
395804,10131,56.14751618777,15.85512055818,43211292305181696,4.3459,22.873,21.407,-8.056,12.733963,0.002803,13.270821,0.003365,12.043893,0.004061,11.793541,0.017747,1.226928,0.536858,0.69007,,5351.7,226.8432,0.8475,0.542536,0.889,6.121,0.598003,K      
521591,35918,290.90227059331,21.32350657535,2018819420132554496,0.1074,8.774,-2.489,-8.414,14.128973,0.002817,16.196133,0.004472,12.809516,0.004002,12.162542,0.035265,3.386617,2.06716,1.319457,,3665.0,7137.332,99.8732,1577.1976,1.92,1.357,0.00534607,M      
524301,38628,291.99744517203,28.47764434845,2026379421556441728,0.0267,4.052,-2.528,-3.167,13.955552,0.003248,15.462021,0.009463,12.771416,0.005526,12.230659,0.034215,2.690605,1.506469,1.184136,,3719.7,5264.6357,46.7925,298.54404,2.36,0.733,0.01086908,M      
210039,24366,55.29600863291,22.74415535551,64650532095391232,1.1981,7.827,-0.652,-7.8,13.908699,0.002766,14.286215,0.003086,13.359536,0.003871,13.075104,0.062273,0.926679,0.377516,0.549163,,5899.0,796.218,1.2796,1.8414627,1.065,6.786,0.4184842,F      
515437,29764,301.93155715711,26.92057930423,1836635840936440832,0.106,1.61,-0.919,-1.322,15.381192,0.005965,19.25777,0.054187,13.807549,0.01534,13.241959,0.085105,5.450221,3.876578,1.573643,1.0675,3489.1,4529.037,132.9722,2247.9597,1.6,2.38,0.00391388,M      
494995,9322,37.74163467015,65.79193803884,516839944747566848,0.7408,0.954,0.047,0.953,14.117188,0.003173,15.213447,0.00304,13.005739,0.003802,12.523034,0.04016,2.207707,1.096259,1.111448,,6085.0,2115.7913,9.0557,86.96512,2.868,0.414,0.17338975,M      
367427,81754,57.04712692134,35.46536125894,219860960728227200,1.1372,9.82,7.517,-6.319,14.253243,0.002761,14.795266,0.002933,13.551588,0.003825,13.252097,0.062605,1.243678,0.542024,0.701654,,5340.1,761.3112,1.485,1.9661167,0.956,13.296,0.49189648,G      
206570,20897,53.8092719377,19.2363730545,57210721026605056,2.2747,7.675,-1.252,-7.572,12.233236,0.002769,12.590039,0.002887,11.702172,0.003806,11.466178,0.016401,0.887867,0.356803,0.531064,,6255.5,577.5594,1.8721,2.7664547,1.211,3.391,0.39277178,F      
27541,27541,138.60690892382,11.60012957412,593634681548180608,6.0525,35.578,-22.03,-27.937,8.466428,0.002767,8.560889,0.002865,8.275033,0.003794,8.188168,0.007375,0.285856,0.094461,0.191395,,7710.1,166.8813,1.6467,8.447649,1.64,0.677,0.57127255,A      
332450,46777,73.35912642488,27.04248465371,153666546804056704,1.6459,13.65,5.723,-12.393,13.975632,0.002762,14.652444,0.003044,13.16808,0.003819,12.823155,0.035643,1.484364,0.676812,0.807551,,5872.4,591.9785,1.4961,2.348462,1.059,8.228,0.34392747,G      
87658,87658,110.26804072338,-11.27420003115,3046831421625422080,0.5812,3.962,-1.721,3.568,14.188188,0.002784,14.68224,0.00345,13.521715,0.003936,13.329066,0.093539,1.160524,0.494052,0.666472,,7532.7,2223.3716,3.3807,14.488048,1.778,1.214,0.44033152,A      
404685,19012,56.52510189515,23.2189795227,64956849163962368,1.7051,10.342,3.344,-9.786,9.427372,0.002766,10.188244,0.002879,8.57976,0.003798,8.239443,0.005183,1.608484,0.760872,0.847612,,4507.7,582.747,15.77,90.00144,3.103,0.345,0.05947447,K      
269483,83810,60.46301805379,32.87382139293,170433618093627776,0.8666,3.927,-3.884,-0.58,13.436716,0.002761,13.797828,0.002874,12.900097,0.003814,12.659508,0.042832,0.897731,0.361112,0.536619,,6646.3,1234.5864,2.2464,6.4453444,1.461,2.355,0.32154828,F      
452634,66961,73.47580109953,33.02032198536,160825982408546176,0.2539,0.205,0.199,0.051,14.953255,0.002767,15.867392,0.003288,14.009036,0.003856,13.69621,0.146908,1.858356,0.914137,0.944219,,5182.1,2167.2744,5.1284,40.774944,2.5,0.621,0.22251351,K      
215528,29855,37.98416361072,13.87694219953,74977935576629376,1.0128,13.621,-5.045,-12.652,13.44585,0.002764,13.798272,0.002912,12.91911,0.003827,12.656316,0.059043,0.879162,0.352422,0.52674,,6073.5,1133.4413,2.1649,3.9821067,1.224,4.709,0.31190556,F      
221235,35562,30.35878878643,20.19112814598,94108613266100608,1.2608,12.192,-9.681,-7.41,13.434073,0.002763,13.769493,0.002903,12.93237,0.003854,12.702638,0.047769,0.837123,0.33542,0.501703,,5600.4,754.1523,1.4521,1.9278631,0.97,12.168,0.52303296,F      
576810,91137,276.22202645403,-30.40595717197,4047911710567923840,0.1568,3.195,-2.933,-1.268,14.402871,0.002793,15.481661,0.003596,13.378741,0.003929,13.025155,0.138412,2.10292,1.07879,1.02413,,4823.6,2660.51,10.5032,54.25076,2.703,0.502,0.12114814,M      
366837,81164,58.70848844849,33.58562011678,218521858645317248,1.2962,3.504,-1.231,-3.28,13.375367,0.002764,13.747325,0.002899,12.831048,0.003813,12.648108,0.036821,0.916277,0.371958,0.544319,,5866.5,719.8162,1.4686,2.4665577,1.066,8.055,0.3814458,G      
564109,78436,270.71098020007,-35.49050249596,4038996591011475840,0.0887,7.534,-0.844,-7.487,13.398954,0.004218,15.057095,0.015088,12.17294,0.008575,11.543428,0.063421,2.884154,1.65814,1.226014,,3531.3,9244.491,105.6207,1616.5881,1.927,1.343,0.00386823,M      
453533,67860,72.15829074988,33.55205897274,161476030002464640,0.1997,0.89,0.661,-0.597,14.454953,0.002764,15.409183,0.003137,13.488536,0.003808,13.033016,0.034129,1.920647,0.954229,0.966417,,5402.9,2759.2854,8.5471,119.44441,3.085,0.346,0.15891804,K      
528143,42470,302.04769231401,32.70932217891,2055091342326131840,0.3197,5.515,-1.276,-5.365,13.464688,0.002858,16.236794,0.007241,12.021606,0.004303,11.362239,0.036437,4.215188,2.772105,1.443083,,3713.7,7565.578,243.3537,1220.8086,1.92,1.357,0.02110586,M      
439093,53420,64.80603389926,24.03126071828,149101546324390272,0.9824,5.868,5.655,1.566,11.026317,0.002763,11.798391,0.002857,10.165636,0.003798,9.80847,0.007065,1.632755,0.772075,0.860681,,5114.9,993.7465,12.1507,82.627,3.0,0.377,0.12423635,K      
359051,73378,74.00008162723,43.81437561367,205359639310176384,1.621,15.984,-2.482,-15.79,14.050702,0.002762,14.504974,0.002921,13.426313,0.003843,13.26103,0.092192,1.078661,0.454272,0.624389,,5839.1,579.9678,0.9984,1.1282027,1.011,5.132,0.52273995,G      
387250,1577,43.50350388301,6.47057516613,7914151553353728,0.5873,7.605,2.297,-7.25,14.840919,0.002857,15.39449,0.004935,14.134852,0.004598,13.749976,0.112781,1.259638,0.553572,0.706066,,5297.4,1290.2699,1.8951,3.8225188,1.227,5.261,0.52640325,K      
336736,51063,65.15149854098,29.10513366404,164841227076100992,3.5311,13.844,-2.298,-13.652,12.864695,0.00276,13.413493,0.002841,12.161144,0.003806,11.856715,0.016981,1.252349,0.548799,0.70355,,5612.8,278.0893,0.9699,0.86080706,0.93,8.462,0.5494985,G      
404491,18818,53.73406495604,21.99937415767,64548552391829504,1.6344,9.398,6.679,-6.611,14.772745,0.002772,15.295466,0.003201,14.095049,0.003914,13.762796,0.091963,1.200418,0.522721,0.677696,,5338.1,568.8306,0.8105,0.53009844,0.89,5.575,0.6595255,K      
568501,82828,265.66581189325,-35.60438491936,4041187509691257472,0.1121,7.39,-7.389,-0.109,15.792574,0.002815,17.040585,0.004898,14.525643,0.004024,13.752603,0.159939,2.514941,1.248011,1.266931,,9058.8,1408.2731,2.9544,48.714592,2.394,0.509,0.40861052,M      
185715,42,45.94159638103,1.0139952932,180697864082688,2.5714,13.943,6.973,-12.074,12.010885,0.002768,12.312369,0.002859,11.544214,0.003818,11.359196,0.064012,0.768155,0.301484,0.466671,,5812.5,384.1464,1.3064,1.7626845,1.01,9.221,0.5399288,F      
531661,45988,274.91944150865,41.84400990681,2112997607531497216,8.5298,32.061,13.775,-28.952,14.292137,0.002779,15.416623,0.003294,13.240142,0.003876,12.750518,0.048597,2.176481,1.124486,1.051995,,3759.1,116.8561,0.5337,0.05215531,0.545,13.072,0.66698724,M      
429085,43412,38.16658060353,33.83258981475,134520544671275008,2.2564,30.135,23.299,-19.112,14.230971,0.002765,14.741689,0.003095,13.567283,0.003867,13.29959,0.090796,1.174406,0.510717,0.663689,,4980.0,422.1178,0.7889,0.37347376,0.792,13.108,0.6440449,K      
420488,34815,42.95353317942,27.72187795046,116382103209250304,2.7773,29.89,27.278,-12.219,13.302979,0.002763,13.760489,0.003114,12.676768,0.003853,12.474388,0.049134,1.08372,0.45751,0.62621,,5629.0,334.7157,0.8348,0.70514494,0.988,0.851,0.58677113,K      
208654,22981,48.70897134056,21.48151559887,62020740799976320,1.448,4.101,0.089,-4.1,13.243578,0.002764,13.660542,0.002966,12.650987,0.003824,12.368697,0.036229,1.009555,0.416964,0.592591,,6128.4,677.3285,1.5572,3.032411,1.223,3.986,0.39780363,F      
90116,90116,110.84603805708,-7.36096376587,3054885550457446144,0.6879,1.037,-0.106,-1.032,11.232203,0.002799,11.323933,0.002938,11.062575,0.003807,10.97899,0.02077,0.261357,0.09173,0.169627,,8570.6,1611.7115,4.198,63.64338,2.506,0.536,0.421576,A      
79060,79060,103.76140720557,-20.40492269108,2932289110610225408,5.4157,10.244,-0.242,-10.241,5.784071,0.002792,5.801601,0.002907,5.716567,0.003917,5.675628,0.006287,0.085034,0.01753,0.067504,,8626.7,185.4796,5.5194,161.04079,3.081,0.34,0.30013198,A      
210763,25090,58.90851113447,24.01763896119,65810413784728064,1.0828,15.325,8.148,-12.979,14.578817,0.002771,14.955907,0.003222,13.97737,0.003964,13.735118,0.093102,0.978537,0.37709,0.601447,,5766.2,745.0186,0.9301,1.168175,0.935,11.323,0.5683576,F      
78924,78924,109.1092799547,-17.99597212424,2931677404185631488,0.3403,4.943,-3.016,3.916,14.161979,0.002888,14.449158,0.004597,13.706635,0.004299,13.417401,0.060474,0.742522,0.287179,0.455343,,7871.7,1843.8167,1.9595,25.88745,2.04,0.869,0.48234543,A      
227940,42267,48.37998071576,26.33920306928,112298143363424896,1.4932,18.02,11.883,-13.546,13.430846,0.002772,13.909775,0.003018,12.772265,0.003804,12.551013,0.035567,1.137509,0.478929,0.658581,,6145.4,655.6555,1.5423,3.0128949,1.223,3.942,0.49568895,F      
154225,54225,61.62802597985,56.62370291858,468845471923146240,0.1947,0.541,0.417,-0.344,15.809437,0.002773,16.221527,0.003598,15.212778,0.004083,,,1.008749,0.41209,0.596659,,9753.5,3514.4216,2.0192,39.348347,2.361,0.347,0.52518696,B      
256749,71076,77.43513184819,29.93572636002,156170272220417280,1.6034,1.178,-0.187,-1.163,14.170832,0.002772,14.692338,0.003281,13.483751,0.003872,13.314014,0.109325,1.208587,0.521506,0.68708,,5846.0,598.1691,1.0826,1.269541,1.003,6.9,0.503375,F      
102586,2586,82.72377830707,35.20788138041,183059791152345728,0.1953,0.6,0.299,-0.52,15.797123,0.002813,16.162598,0.003598,15.244988,0.00436,,,0.917609,0.365475,0.552135,,10121.3,5511.322,2.9085,82.54399,2.739,0.339,0.46251094,B      
264820,79147,63.67295793164,29.05885680914,165543333969386368,0.7894,7.03,0.032,-7.03,13.385451,0.00276,13.95048,0.002887,12.661256,0.003797,12.325697,0.028045,1.289224,0.565028,0.724196,,6500.6,1001.242,2.6292,15.453595,1.78,1.537,0.32636395,F      
137447,37447,5.89223734152,62.06671546963,430483064559433216,0.3526,3.66,-3.386,-1.389,14.375618,0.002771,14.610458,0.002948,13.98127,0.003852,,,0.629189,0.23484,0.394348,,10820.8,4027.1484,3.0817,50.98007,2.592,,0.4904888,B      
455171,69498,63.46537630494,27.45582524352,163123549394097280,1.2205,7.79,2.846,-7.251,10.05074,0.002763,10.882618,0.002836,9.156159,0.003784,8.772792,0.009715,1.726459,0.831878,0.894581,,5038.6,687.0268,14.3456,143.12604,3.4,0.271,0.10164874,K      
28463,28463,136.80501270399,36.2001244463,715407140513687168,1.0662,9.605,5.694,-7.735,11.071591,0.002916,11.149837,0.003567,10.901571,0.005296,10.797051,0.015516,0.248265,0.078245,0.17002,,10047.0,1096.9941,2.9003,53.191975,2.517,0.33,0.4683548,A      
45642,45642,331.78620301849,47.18672127863,1975468081798231296,0.5488,4.518,-2.092,-4.004,11.649189,0.002765,11.723871,0.002834,11.505829,0.003791,11.421137,0.012095,0.218042,0.074682,0.14336,,9000.8,1511.1761,3.1881,60.26532,2.478,0.542,0.337925,A      
602552,16879,13.32912071965,-72.68316838503,4688963990662785152,0.0226,1.437,0.759,-1.22,17.273405,0.003299,16.985666,0.021119,16.845709,0.045538,,,0.139957,-0.287739,0.427696,,16843.5,18179.346,1.5134,,,,,O      
257348,71675,74.52567463343,29.41979739927,156607358155725056,0.748,7.605,2.391,-7.219,15.00327,0.002764,15.600616,0.002969,14.252352,0.003898,14.037952,0.114205,1.348264,0.597345,0.750918,,6518.0,1240.8608,1.6186,4.4476027,1.356,2.365,0.4947306,F      
608719,23046,256.5176999904,-36.45983009335,5976746201339643648,0.4113,0.864,0.662,-0.555,16.415941,0.002836,17.951551,0.009941,15.146318,0.009144,,,2.805234,1.53561,1.269624,,15007.0,2344.9824,3.4289,532.2083,4.536,,0.83100754,O      
528906,43233,299.97279916256,36.35158095911,2059741524935180544,0.0911,5.055,-2.113,-4.592,14.355189,0.002834,16.099031,0.004473,13.108476,0.004162,12.538202,0.026865,2.990556,1.743842,1.246714,,3787.0,6687.4883,66.2308,653.9248,1.637,2.208,0.01219454,M      
41731,41731,336.31191563889,32.87989164228,1901880895278684672,2.1346,9.286,-6.894,-6.221,9.690662,0.002766,9.827716,0.002875,9.427295,0.003805,9.287921,0.051914,0.400421,0.137053,0.263368,,7508.3,441.0847,2.8655,25.836731,2.028,0.933,0.2943835,A      
