,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
558945,73272,138.6472811946,0.13558786164,3842523316347454208,8.5963,48.304,43.727,-20.523,14.563093,0.002828,15.7272,0.005132,13.492506,0.004328,12.91276,0.037331,2.234694,1.164106,1.070587,,3677.1,115.9923,0.4959,0.040142395,0.511,9.526,0.60591054,M      
230428,44755,50.62391150601,26.02461585925,117516322469104768,1.2599,27.004,12.473,-23.95,14.556697,0.002769,14.97735,0.003253,13.957409,0.003981,13.706357,0.089289,1.019941,0.420653,0.599288,,5960.1,693.4545,0.9001,1.1280403,1.092,0.525,0.5348574,F      
374323,88650,52.32937613273,38.60573326199,234969418723969536,1.6032,6.164,1.506,5.977,12.786853,0.002762,13.17545,0.002839,12.2274,0.003808,11.990319,0.015443,0.948051,0.388598,0.559453,,5500.1,595.5439,1.7191,2.5893595,1.048,9.366,0.5023287,G      
481697,96024,82.69548442144,37.00461579739,184264473641443584,0.3509,2.616,1.909,-1.789,14.518243,0.002777,15.595298,0.003518,13.494741,0.003835,13.021732,0.048326,2.100557,1.077055,1.023502,,6091.4,2542.6777,8.1397,76.689255,2.668,0.503,0.1706486,K      
192268,6595,35.85405257715,11.20285204741,24621986651725312,1.3106,2.785,-0.804,-2.667,13.21982,0.002768,13.579518,0.002997,12.688138,0.003811,12.493114,0.087726,0.89138,0.359698,0.531682,,6241.8,738.9904,1.5117,3.0423436,1.231,3.515,0.50361764,F      
463541,77868,66.57252151343,32.5978895929,172476613774696960,0.43,2.817,-1.629,-2.298,14.620224,0.002774,15.398654,0.003166,13.760394,0.003855,13.285787,0.063759,1.63826,0.77843,0.85983,,4896.3,1454.4825,3.4931,13.471857,1.432,3.258,0.17421603,K      
186190,517,45.28505491954,4.25850114665,2174116741164160,1.593,10.369,-10.234,-1.67,14.129879,0.002769,14.5221,0.003175,13.563722,0.003873,13.323076,0.053447,0.958378,0.392221,0.566157,,5783.9,585.3782,0.8846,0.862617,1.038,0.32,0.55598396,F      
588621,2948,315.87313444494,46.03452086503,2163561467255569792,0.088,4.607,-2.729,-3.712,16.782654,0.002849,18.294504,0.010576,15.578219,0.005232,,,2.716285,1.51185,1.204434,,15018.9,2361.9387,2.7837,355.91296,4.273,,0.78811085,O      
30783,30783,104.87925439526,40.34753938075,950461213039823104,1.782,4.141,-2.9,2.956,11.304042,0.002881,11.474752,0.003051,10.986845,0.003813,10.853416,0.012871,0.487907,0.170711,0.317197,,7390.8,508.0125,1.6586,8.614353,1.617,1.058,0.5215474,A      
408931,23258,33.41256283357,12.22656008822,73392645967853952,1.0989,12.896,-11.613,-5.606,12.530328,0.002774,13.108461,0.002866,11.809428,0.003815,11.543527,0.369186,1.299033,0.578134,0.7209,,5318.8,933.1575,4.0593,9.457193,1.45,3.077,0.16420665,K      
389545,3872,49.42761395893,12.58132467406,17364518418311296,0.6648,11.301,-3.108,-10.866,12.285938,0.00277,13.051271,0.002901,11.427416,0.003804,11.063983,0.012257,1.623856,0.765333,0.858522,,5647.1,1582.3201,9.9465,75.38767,2.676,0.503,0.14392895,K      
567194,81521,269.12427978207,-35.56774605018,4040519998731172352,0.0551,4.897,-2.26,-4.344,15.05564,0.002832,16.566982,0.005245,13.866742,0.004007,13.129888,0.646502,2.70024,1.511342,1.188898,,3738.8,8118.041,44.3008,263.39905,3.706,0.217,0.01174578,M      
245094,59421,41.34832616333,35.66614006502,140960762232245504,0.6396,1.34,1.336,0.111,14.054623,0.002771,14.394717,0.003078,13.543821,0.003925,13.26661,0.087772,0.850896,0.340095,0.510801,,5624.9,1258.087,1.8382,4.2455273,1.233,5.025,0.49521658,F      
365475,79802,86.40053605395,51.24328735328,215235040431539072,1.1405,6.881,2.638,-6.356,14.684227,0.002776,15.093209,0.003367,14.10208,0.00402,13.970026,0.075611,0.991129,0.408982,0.582147,,5822.0,826.8801,0.9712,1.001868,1.036,2.363,0.5517859,G      
236597,50924,39.6737391637,29.43223323392,128275043746425216,0.2801,1.423,1.056,0.955,14.6497,0.002886,14.975462,0.003103,14.1318,0.004227,13.875761,0.092777,0.843662,0.325762,0.5179,,5791.7,2634.2568,2.88,8.341553,1.505,2.683,0.2741844,F      
520362,34689,335.69520875106,56.78537431939,2006276981729274496,0.1604,1.28,-0.887,-0.923,13.655908,0.002898,15.755505,0.006396,12.322548,0.004279,11.708329,0.031754,3.432957,2.099597,1.33336,,3755.0,6531.1484,100.6598,933.54376,1.959,1.271,0.02578454,M      
